id	quantity_jp	quantity_en	unit	type	base	conversion	denominator	offset	created_at	updated_at
1	Null	Null	Null						2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1000	時間	Time	s	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1001	時間	Time	ns	Real	1000	0.000000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1002	時間	Time	µs	Real	1000	0.000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1003	時間	Time	ms	Real	1000	0.001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1004	時間:分	Time: Minute	min	Real	1000	60	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1005	時間:時	Time: Hour	h	Real	1000	3600	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1006	時間:日	Time: Day	day	Real	1000	86400	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1090	時間	Time	sec	Real	1000				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1091	時間	Time	hour	Real	1005				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1100	周波数	Frequency	Hz	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1101	周波数/頻度	Frequency	cps	Real	1100	1	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1102	周波数/頻度	Frequency	cpm	Real	1101	1	60	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1103	周波数/頻度	Frequency	spm	Real	1100	1	60	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1110	周波数/頻度	Frequency	cycle/s	Real	1101				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1111	周波数/頻度	Frequency	cycle/min	Real	1102				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1112	周波数/頻度	Frequency	shot/min	Real	1103				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1120	回転数	Number of Rotations	rps	Real	1100	1	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1121	回転数	Number of Rotations	rpm	Real	1120	1	60	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1200	平面角	Plane Angle	rad	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1201	平面角:度	Plane Angle: Degrees	°	Real	1200	3.141592654	180	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1202	平面角:分	Plane Angle: Minutes	'	Real	1200	3.141592654	10800	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1203	平面角:秒	Plane Angle: Seconds	""""	Real	1200	3.141592654	648000	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1290	平面角:度	Plane Angle: Degrees	deg	Real	1201				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1291	平面角:度	Plane Angle: Degrees	degree	Real	1201				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1300	立体角	Solid Angle	sr	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1400	力	Force/Weight	N	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1401	力	Force/Weight	µN	Real	1400	0.000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1402	力	Force/Weight	mN	Real	1400	0.001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1403	力	Force/Weight	kN	Real	1400	1000	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1404	力	Force/Weight	dyn	Real	1400	0.00001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1405	力	Force/Weight	kgf	Real	1400	9.80665	1000	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1406	力:プレス	Force: Press	ton	Real	1400	9.80665	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
