datetime	serial	ng_mode	x	y	OKNG
2024-10-01 00:00:10	wafer_0001	none	1	1	""
2024-10-01 00:00:20	wafer_0001	none	1	2	""
2024-10-01 00:00:30	wafer_0001	none	1	3	""
2024-10-01 00:00:40	wafer_0001	none	1	4	""
2024-10-01 00:00:50	wafer_0001	none	1	5	""
2024-10-01 00:01:00	wafer_0001	none	1	6	""
2024-10-01 00:01:10	wafer_0001	none	1	7	""
2024-10-01 00:01:20	wafer_0001	none	1	8	""
2024-10-01 00:01:30	wafer_0001	none	1	9	""
2024-10-01 00:01:40	wafer_0001	none	1	10	""
2024-10-01 00:01:50	wafer_0001	none	1	11	NG
2024-10-01 00:02:00	wafer_0001	none	1	12	NG
2024-10-01 00:02:10	wafer_0001	none	1	13	OK
2024-10-01 00:02:20	wafer_0001	none	1	14	OK
2024-10-01 00:02:30	wafer_0001	none	1	15	NG
2024-10-01 00:02:40	wafer_0001	none	1	16	OK
2024-10-01 00:02:50	wafer_0001	none	1	17	""
2024-10-01 00:03:00	wafer_0001	none	1	18	""
2024-10-01 00:03:10	wafer_0001	none	1	19	""
2024-10-01 00:03:20	wafer_0001	none	1	20	""
2024-10-01 00:03:30	wafer_0001	none	1	21	""
2024-10-01 00:03:40	wafer_0001	none	1	22	""
2024-10-01 00:03:50	wafer_0001	none	1	23	""
2024-10-01 00:04:00	wafer_0001	none	1	24	""
2024-10-01 00:04:10	wafer_0001	none	1	25	""
2024-10-01 00:04:20	wafer_0001	none	1	26	""
2024-10-01 00:04:30	wafer_0001	none	2	1	""
2024-10-01 00:04:40	wafer_0001	none	2	2	""
2024-10-01 00:04:50	wafer_0001	none	2	3	""
2024-10-01 00:05:00	wafer_0001	none	2	4	""
2024-10-01 00:05:10	wafer_0001	none	2	5	""
2024-10-01 00:05:20	wafer_0001	none	2	6	""
2024-10-01 00:05:30	wafer_0001	none	2	7	""
2024-10-01 00:05:40	wafer_0001	none	2	8	OK
2024-10-01 00:05:50	wafer_0001	none	2	9	OK
2024-10-01 00:06:00	wafer_0001	none	2	10	NG
2024-10-01 00:06:10	wafer_0001	none	2	11	NG
2024-10-01 00:06:20	wafer_0001	none	2	12	OK
2024-10-01 00:06:30	wafer_0001	none	2	13	NG
2024-10-01 00:06:40	wafer_0001	none	2	14	OK
2024-10-01 00:06:50	wafer_0001	none	2	15	OK
2024-10-01 00:07:00	wafer_0001	none	2	16	NG
2024-10-01 00:07:10	wafer_0001	none	2	17	OK
2024-10-01 00:07:20	wafer_0001	none	2	18	OK
2024-10-01 00:07:30	wafer_0001	none	2	19	OK
2024-10-01 00:07:40	wafer_0001	none	2	20	""
2024-10-01 00:07:50	wafer_0001	none	2	21	""
2024-10-01 00:08:00	wafer_0001	none	2	22	""
2024-10-01 00:08:10	wafer_0001	none	2	23	""
2024-10-01 00:08:20	wafer_0001	none	2	24	""
2024-10-01 00:08:30	wafer_0001	none	2	25	""
2024-10-01 00:08:40	wafer_0001	none	2	26	""
2024-10-01 00:08:50	wafer_0001	none	3	1	""
2024-10-01 00:09:00	wafer_0001	none	3	2	""
2024-10-01 00:09:10	wafer_0001	none	3	3	""
2024-10-01 00:09:20	wafer_0001	none	3	4	""
2024-10-01 00:09:30	wafer_0001	none	3	5	""
2024-10-01 00:09:40	wafer_0001	none	3	6	""
2024-10-01 00:09:50	wafer_0001	none	3	7	OK
2024-10-01 00:10:00	wafer_0001	none	3	8	OK
2024-10-01 00:10:10	wafer_0001	none	3	9	OK
2024-10-01 00:10:20	wafer_0001	none	3	10	OK
2024-10-01 00:10:30	wafer_0001	none	3	11	NG
2024-10-01 00:10:40	wafer_0001	none	3	12	OK
2024-10-01 00:10:50	wafer_0001	none	3	13	OK
2024-10-01 00:11:00	wafer_0001	none	3	14	OK
2024-10-01 00:11:10	wafer_0001	none	3	15	OK
2024-10-01 00:11:20	wafer_0001	none	3	16	OK
2024-10-01 00:11:30	wafer_0001	none	3	17	OK
2024-10-01 00:11:40	wafer_0001	none	3	18	NG
2024-10-01 00:11:50	wafer_0001	none	3	19	OK
2024-10-01 00:12:00	wafer_0001	none	3	20	OK
2024-10-01 00:12:10	wafer_0001	none	3	21	""
2024-10-01 00:12:20	wafer_0001	none	3	22	""
2024-10-01 00:12:30	wafer_0001	none	3	23	""
2024-10-01 00:12:40	wafer_0001	none	3	24	""
2024-10-01 00:12:50	wafer_0001	none	3	25	""
2024-10-01 00:13:00	wafer_0001	none	3	26	""
2024-10-01 00:13:10	wafer_0001	none	4	1	""
2024-10-01 00:13:20	wafer_0001	none	4	2	""
2024-10-01 00:13:30	wafer_0001	none	4	3	""
2024-10-01 00:13:40	wafer_0001	none	4	4	""
2024-10-01 00:13:50	wafer_0001	none	4	5	OK
2024-10-01 00:14:00	wafer_0001	none	4	6	OK
2024-10-01 00:14:10	wafer_0001	none	4	7	OK
2024-10-01 00:14:20	wafer_0001	none	4	8	OK
2024-10-01 00:14:30	wafer_0001	none	4	9	OK
2024-10-01 00:14:40	wafer_0001	none	4	10	OK
2024-10-01 00:14:50	wafer_0001	none	4	11	OK
2024-10-01 00:15:00	wafer_0001	none	4	12	OK
2024-10-01 00:15:10	wafer_0001	none	4	13	OK
2024-10-01 00:15:20	wafer_0001	none	4	14	OK
2024-10-01 00:15:30	wafer_0001	none	4	15	NG
2024-10-01 00:15:40	wafer_0001	none	4	16	OK
2024-10-01 00:15:50	wafer_0001	none	4	17	OK
2024-10-01 00:16:00	wafer_0001	none	4	18	OK
2024-10-01 00:16:10	wafer_0001	none	4	19	NG
2024-10-01 00:16:20	wafer_0001	none	4	20	NG
2024-10-01 00:16:30	wafer_0001	none	4	21	OK
2024-10-01 00:16:40	wafer_0001	none	4	22	NG
2024-10-01 00:16:50	wafer_0001	none	4	23	""
2024-10-01 00:17:00	wafer_0001	none	4	24	""
2024-10-01 00:17:10	wafer_0001	none	4	25	""
2024-10-01 00:17:20	wafer_0001	none	4	26	""
2024-10-01 00:17:30	wafer_0001	none	5	1	""
2024-10-01 00:17:40	wafer_0001	none	5	2	""
2024-10-01 00:17:50	wafer_0001	none	5	3	""
2024-10-01 00:18:00	wafer_0001	none	5	4	OK
2024-10-01 00:18:10	wafer_0001	none	5	5	NG
2024-10-01 00:18:20	wafer_0001	none	5	6	OK
2024-10-01 00:18:30	wafer_0001	none	5	7	OK
2024-10-01 00:18:40	wafer_0001	none	5	8	OK
2024-10-01 00:18:50	wafer_0001	none	5	9	OK
2024-10-01 00:19:00	wafer_0001	none	5	10	OK
2024-10-01 00:19:10	wafer_0001	none	5	11	NG
2024-10-01 00:19:20	wafer_0001	none	5	12	OK
2024-10-01 00:19:30	wafer_0001	none	5	13	OK
2024-10-01 00:19:40	wafer_0001	none	5	14	OK
2024-10-01 00:19:50	wafer_0001	none	5	15	OK
2024-10-01 00:20:00	wafer_0001	none	5	16	OK
2024-10-01 00:20:10	wafer_0001	none	5	17	NG
2024-10-01 00:20:20	wafer_0001	none	5	18	OK
2024-10-01 00:20:30	wafer_0001	none	5	19	OK
2024-10-01 00:20:40	wafer_0001	none	5	20	OK
2024-10-01 00:20:50	wafer_0001	none	5	21	NG
2024-10-01 00:21:00	wafer_0001	none	5	22	OK
2024-10-01 00:21:10	wafer_0001	none	5	23	NG
2024-10-01 00:21:20	wafer_0001	none	5	24	""
2024-10-01 00:21:30	wafer_0001	none	5	25	""
2024-10-01 00:21:40	wafer_0001	none	5	26	""
2024-10-01 00:21:50	wafer_0001	none	6	1	""
2024-10-01 00:22:00	wafer_0001	none	6	2	""
2024-10-01 00:22:10	wafer_0001	none	6	3	NG
2024-10-01 00:22:20	wafer_0001	none	6	4	OK
2024-10-01 00:22:30	wafer_0001	none	6	5	OK
2024-10-01 00:22:40	wafer_0001	none	6	6	OK
2024-10-01 00:22:50	wafer_0001	none	6	7	OK
2024-10-01 00:23:00	wafer_0001	none	6	8	NG
2024-10-01 00:23:10	wafer_0001	none	6	9	OK
2024-10-01 00:23:20	wafer_0001	none	6	10	OK
2024-10-01 00:23:30	wafer_0001	none	6	11	OK
2024-10-01 00:23:40	wafer_0001	none	6	12	OK
2024-10-01 00:23:50	wafer_0001	none	6	13	NG
2024-10-01 00:24:00	wafer_0001	none	6	14	OK
2024-10-01 00:24:10	wafer_0001	none	6	15	OK
2024-10-01 00:24:20	wafer_0001	none	6	16	OK
2024-10-01 00:24:30	wafer_0001	none	6	17	NG
