"Serial"	"datetime"	"MachNo"	"MagazineNo"	"Curvature_1"	"Curvature_2"	"Tilt_1"	"Tilt_2"	"ProcNo"	"LotNo"
202203190715912	2022-03-01 00:23:54	"94"	7220220317155808	0.84	0.08	0.714451926	0.183331316	"13A"	"ax4"
202203190715888	2022-03-01 00:35:22	"95"	7220220317155808	0.84	0.07	0.71513739	0.183311816	"11A"	"ax4"
202203190715889	2022-03-01 00:49:23	"94"	7220220317155808	0.84	0.1	0.727911963	0.194885658	"12A"	"ax3"
202203190715913	2022-03-01 00:49:45	"93"	7220220317155808	0.84	0.11	0.715249032	0.193869431	"10A"	"ax2"
202203190715863	2022-03-01 00:58:24	"95"	7220220317155808	0.22	0.69	0.753259527	1.056992164	"11A"	"ax5"
202203190715864	2022-03-01 00:58:26	"94"	7220220317155808	0.48	1.18	2.211511407	2.031720049	"10A"	"ax2"
202203190715938	2022-03-01 01:04:50	"93"	7220220317155808	0.66	0.8	1.802802002	2.152550136	"10A"	"ax4"
202203190715890	2022-03-01 01:06:00	"93"	7220220317155808	0.35	1.09	0.230986812	1.563359593	"12A"	"ax5"
202203190715865	2022-03-01 01:07:50	"93"	7220220317155808	0.24	0.64	0.282791284	0.966713676	"12A"	"ax5"
202203190715949	2022-03-01 01:08:05	"95"	7220220317155808	0.35	1.06	1.521401053	4.122418857	"10A"	"ax3"
202203190715924	2022-03-01 01:25:40	"93"	7220220317155808	0.69	0.96	3.133781128	4.47415546	"10A"	"ax2"
202203190715900	2022-03-01 01:35:35	"96"	7220220317155808	0.19	0.83	0.343357693	1.551814009	"14A"	"ax5"
202203190715828	2022-03-01 01:41:11	"95"	7220220317155808	0.09	1.27	1.106968939	2.680749021	"10A"	"ax5"
202203190715877	2022-03-01 01:42:59	"95"	7220220317155808	0.49	1.02	2.430134354	3.128214301	"10A"	"ax5"
202203190715853	2022-03-01 01:44:53	"94"	7220220317155808	0.68	0.99	2.996084371	4.321875825	"10A"	"ax5"
202203190715925	2022-03-01 01:46:22	"95"	7220220317155808	0.11	0.59	1.935300888	2.916906103	"12A"	"ax4"
202203190715901	2022-03-01 01:49:01	"94"	7220220317155808	1.03	1.4	1.572704085	5.030640644	"13A"	"ax2"
202203190715964	2022-03-01 01:59:50	"94"	7220220317155808	0.85	0.06	0.725212881	0.216287364	"12A"	"ax4"
202203190715827	2022-03-01 02:00:29	"96"	7220220317155808	0.24	0.62	0.394164453	1.924912422	"13A"	"ax4"
202203190715939	2022-03-01 02:05:30	"96"	7220220317155808	0.32	0.88	0.679572972	1.348241437	"11A"	"ax5"
202203190715915	2022-03-01 02:12:57	"96"	7220220317155808	0.46	0.91	2.615715498	4.289572906	"9A"	"ax5"
202203190715852	2022-03-01 02:16:21	"96"	7220220317155808	0.44	1.31	4.407473189	3.126496504	"14A"	"ax3"
202203190715867	2022-03-01 02:21:15	"95"	7220220317155808	0.53	0.56	1.912680861	2.861504059	"10A"	"ax4"
202203190715866	2022-03-01 02:22:16	"96"	7220220317155808	0.22	0.86	0.922593494	2.222396886	"11A"	"ax3"
202203190715891	2022-03-01 02:22:30	"95"	7220220317155808	0.23	0.9	0.265932103	1.823048531	"12A"	"ax5"
202203190715940	2022-03-01 02:22:53	"94"	7220220317155808	0.55	0.97	3.375664355	1.893024339	"14A"	"ax3"
202203190715951	2022-03-01 02:25:24	"95"	7220220317155808	0.42	0.95	2.723305238	4.236611744	"10A"	"ax5"
202203190715854	2022-03-01 02:27:36	"93"	7220220317155808	0.38	0.88	0.952145601	1.253462875	"12A"	"ax5"
202203190715881	2022-03-01 02:27:52	"95"	7220220317155808	0.3	1.11	2.105281705	2.947958607	"13A"	"ax4"
202203190715903	2022-03-01 02:28:11	"95"	7220220317155808	0.09	0.78	2.102265186	0.233468618	"11A"	"ax5"
202203190715893	2022-03-01 02:32:11	"95"	7220220317155808	0.06	0.97	2.15046767	2.640752382	"15A"	"ax3"
202203190715868	2022-03-01 02:42:23	"93"	7220220317155808	0.43	1.18	1.504928637	0.755034745	"12A"	"ax2"
202203190715904	2022-03-01 02:48:30	"96"	7220220317155808	0.23	0.3	0.276795367	1.69003268	"13A"	"ax3"
202203190715929	2022-03-01 02:50:06	"94"	7220220317155808	0.41	0.63	1.126423184	1.609507289	"10A"	"ax2"
202203190715880	2022-03-01 02:52:40	"96"	7220220317155808	0.29	0.58	0.379344529	1.404225288	"10A"	"ax4"
202203190715942	2022-03-01 02:53:40	"95"	7220220317155808	0.24	0.68	0.45471446	1.300817287	"10A"	"ax5"
202203190715968	2022-03-01 02:56:11	"93"	7220220317155808	0.38	0.76	0.54824718	0.902658532	"13A"	"ax2"
202203190715967	2022-03-01 02:57:47	"96"	7220220317155808	0.41	0.83	2.345519215	1.253274695	"10A"	"ax5"
202203190715894	2022-03-01 03:02:12	"94"	7220220317155808	0.17	0.59	0.988339823	0.909857438	"8A"	"ax4"
202203190715895	2022-03-01 03:04:22	"96"	7220220317155808	0.52	0.81	0.842222633	1.398758715	"9A"	"ax5"
202203190715919	2022-03-01 03:08:46	"95"	7220220317155808	0.33	0.62	1.66513411	1.608126899	"14A"	"ax4"
202203190715870	2022-03-01 03:15:33	"95"	7220220317155808	0.55	0.52	1.563285122	0.716111525	"11A"	"ax5"
202203190715845	2022-03-01 03:20:20	"95"	7220220317155808	0.57	0.96	2.228801792	2.643577432	"12A"	"ax4"
202203190715920	2022-03-01 03:22:31	"93"	7220220317155808	0.32	0.61	0.305166651	4.299875613	"12A"	"ax3"
202203190715954	2022-03-01 03:29:44	"95"	7220220317155808	0.6	0.58	3.993178935	3.147658737	"13A"	"ax5"
202203190715955	2022-03-01 03:33:30	"95"	7220220317155808	0.39	0.5	0.174443406	0.162751913	"13A"	"ax5"
202203190715908	2022-03-01 03:35:36	"96"	7220220317155808	0.3	0.65	0.731744817	0.660695186	"9A"	"ax5"
202203190715930	2022-03-01 03:36:40	"95"	7220220317155808	0.35	0.98	1.876949339	1.276411034	"12A"	"ax3"
202203190715847	2022-03-01 03:39:12	"93"	7220220317155808	0.74	0.5	2.371081317	1.446983295	"12A"	"ax3"
202203190715892	2022-03-01 03:42:04	"94"	7220220317155808	0.41	1.07	1.712727564	0.883592051	"12A"	"ax4"
202203190715906	2022-03-01 03:44:57	"95"	7220220317155808	0.2	0.49	0.199722004	0.701970407	"11A"	"ax3"
202203190715842	2022-03-01 03:49:06	"94"	7220220317155808	0.91	1.03	3.645627053	2.355166747	"9A"	"ax5"
202203190715931	2022-03-01 04:17:45	"93"	7220220317155808	0.27	0.94	1.572412042	0.290639263	"15A"	"ax4"
202203190715834	2022-03-01 04:20:00	"95"	7220220317155808	0.75	1.26	3.577147163	4.706291587	"16A"	"ax4"
202203190715928	2022-03-01 04:20:14	"94"	7220220317155808	0.85	0.09	0.732311788	0.184912389	"10A"	"ax2"
202203190715946	2022-03-01 04:22:17	"94"	7220220317155808	0.46	0.68	0.756445401	1.372020207	"12A"	"ax5"
202203190715856	2022-03-01 04:26:16	"95"	7220220317155808	0.29	0.94	1.536873286	3.268443776	"12A"	"ax4"
202203190715898	2022-03-01 04:27:38	"93"	7220220317155808	0.44	0.8	0.881035711	0.504436259	"11A"	"ax5"
202203190715871	2022-03-01 04:30:55	"94"	7220220317155808	1.23	1.07	3.71642366	2.612748626	"12A"	"ax4"
202203190715971	2022-03-01 04:33:48	"95"	7220220317155808	0.36	0.91	4.190516773	2.758680951	"11A"	"ax3"
202203190715969	2022-03-01 04:34:40	"95"	7220220317155808	0.75	1.15	3.314365188	4.469936305	"9A"	"ax2"
202203190715918	2022-03-01 04:37:29	"94"	7220220317155808	0.47	1.32	3.075253401	0.465854041	"13A"	"ax5"
202203190715921	2022-03-01 04:44:09	"94"	7220220317155808	0.44	0.96	2.501663872	6.164977985	"9A"	"ax2"
202203190715896	2022-03-01 04:55:44	"93"	7220220317155808	0.21	1.33	1.048055481	6.17847929	"12A"	"ax3"
202203190715869	2022-03-01 04:58:56	"96"	7220220317155808	0.3	0.61	2.107944488	3.605561001	"11A"	"ax3"
202203190715848	2022-03-01 05:05:35	"96"	7220220317155808	0.17	0.61	0.020991368	5.209698458	"12A"	"ax5"
202203190715945	2022-03-01 05:07:47	"93"	7220220317155808	0.51	0.58	0.577991327	0.285462152	"14A"	"ax5"
202203190715897	2022-03-01 05:14:21	"96"	7220220317155808	0.19	0.94	0.963212516	1.120038609	"11A"	"ax5"
202203190715944	2022-03-01 05:15:09	"94"	7220220317155808	0.48	1.04	1.978262291	2.738044064	"10A"	"ax4"
202203190715957	2022-03-01 05:15:14	"94"	7220220317155808	0.07	0.95	7.657079739	10.13028876	"11A"	"ax3"
202203190715959	2022-03-01 05:16:20	"93"	7220220317155808	1.23	0.59	7.510381838	3.332565375	"11A"	"ax5"
202203190715911	2022-03-01 05:26:55	"93"	7220220317155808	0.76	0.95	1.297533138	1.455726441	"13A"	"ax5"
202203190715885	2022-03-01 05:43:24	"94"	7220220317155808	0.22	1.15	1.774650211	6.540542863	"11A"	"ax3"
202203190715836	2022-03-01 05:49:15	"93"	7220220317155808	0.44	0.82	2.78833307	3.328337579	"9A"	"ax5"
202203190715860	2022-03-01 05:54:20	"94"	7220220317155808	0.36	1.26	2.209781129	2.990671057	"8A"	"ax5"
202203190715932	2022-03-01 05:59:52	"94"	7220220317155808	0.4	1.03	1.786558957	1.436954358	"15A"	"ax2"
202203190715909	2022-03-01 06:03:25	"94"	7220220317155808	0.45	0.73	0.171955235	1.412856827	"9A"	"ax4"
202203190715934	2022-03-01 06:20:00	"94"	7220220317155808	0.41	0.87	2.749929561	1.720363774	"11A"	"ax3"
202203190715862	2022-03-01 06:20:26	"96"	7220220317155808	0.2	1.07	2.096409219	4.479818929	"9A"	"ax5"
202203190715884	2022-03-01 07:19:59	"95"	7220220317155808	0.5	0.81	0.346194685	2.061415051	"12A"	"ax4"
202203190715958	2022-03-01 07:29:11	"96"	7220220317155808	0.11	2.11	6.419525937	1.626578363	"11A"	"ax2"
202203190715886	2022-03-01 07:30:45	"93"	7220220317155808	1.02	0.61	18.55152647	15.23756083	"9A"	"ax4"
202203190716394	2022-03-01 07:30:58	"A3"	7220220317153649	0.34	0.22	1.25698549	1.79917988	"13A"	"ax5"
202203190715970	2022-03-01 07:32:56	"96"	7220220317155808	0.3	1.19	0.547818683	1.846102043	"12A"	"ax5"
202203190715910	2022-03-01 07:35:41	"95"	7220220317155808	0.37	1.64	4.189054519	3.455937595	"12A"	"ax5"
202203190715922	2022-03-01 07:36:12	"96"	7220220317155808	0.44	0.94	1.875865952	1.939175987	"13A"	"ax4"
202203190715861	2022-03-01 07:45:14	"93"	7220220317155808	0.47	0.89	0.954673917	3.413448517	"11A"	"ax4"
202203190715837	2022-03-01 07:49:00	"95"	7220220317155808	0.24	0.47	1.736863006	2.855730912	"12A"	"ax5"
202203190716346	2022-03-01 07:50:28	"A7"	7220220317153649	0.3	0.73	0.022133593	0.070613042	"12A"	"ax2"
202203190716369	2022-03-01 07:51:07	"A1"	7220220317153649	0.74	0.57	2.633923441	3.729478837	"13A"	"ax5"
202203190716393	2022-03-01 07:53:25	"A3"	7220220317153649	0.55	1.22	1.25859411	0.046849977	"9A"	"ax2"
202203190716298	2022-03-01 07:53:33	"98"	7220220317153649	0.38	1.06	0.062180175	3.647009248	"9A"	"ax3"
202203190715947	2022-03-01 07:58:08	"96"	7220220317155808	0.97	1.28	3.555017804	4.081791759	"12A"	"ax4"
202203190716345	2022-03-01 07:58:26	"A7"	7220220317153649	0.53	0.63	2.167239009	2.626921439	"13A"	"ax5"
202203190716321	2022-03-01 08:00:10	"A5"	7220220317153649	0.58	1.26	0.125499706	3.842095593	"13A"	"ax3"
202203190716273	2022-03-01 08:00:21	"98"	7220220317153649	0.24	1.28	1.682835322	2.695631125	"11A"	"ax2"
202203190715899	2022-03-01 08:06:29	"95"	7220220317155808	0.43	0.83	0.766496109	0.570002792	"9A"	"ax5"
202203190716297	2022-03-01 08:09:51	"97"	7220220317153649	0.48	0.91	1.34704296	3.55628758	"10A"	"ax5"
202203190716347	2022-03-01 08:12:05	"A6"	7220220317153649	0.31	1.31	1.399908413	2.278842829	"9A"	"ax5"
202203190716299	2022-03-01 08:15:28	"99"	7220220317153649	0.43	1.14	0.979786157	1.395144894	"11A"	"ax3"
202203190716357	2022-03-01 08:17:31	"A8"	7220220317153649	0.34	0.79	3.364520418	0.654026354	"10A"	"ax5"
202203190716381	2022-03-01 08:18:30	"A2"	7220220317153649	0.55	1.08	1.332100913	2.084590584	"9A"	"ax5"
202203190715935	2022-03-01 08:20:04	"96"	7220220317155808	0.44	0.87	0.897051148	2.43840833	"10A"	"ax5"
202203190716309	2022-03-01 08:41:06	"A8"	7220220317153649	0.46	1.12	0.401808194	0.153997743	"11A"	"ax4"
202203190715838	2022-03-01 08:50:41	"94"	7220220317155808	0.52	1.21	2.968491192	1.165067261	"10A"	"ax5"
202203190716261	2022-03-01 08:53:48	"99"	7220220317153649	0.76	0.74	1.936821467	3.631361268	"12A"	"ax5"
202203190716285	2022-03-01 09:02:30	"A0"	7220220317153649	0.55	1.26	1.955352024	3.367132309	"15A"	"ax4"
202203190716335	2022-03-01 09:04:16	"A5"	7220220317153649	0.27	1.2	1.807476896	2.331105391	"11A"	"ax4"
202203190716382	2022-03-01 09:14:03	"A2"	7220220317153649	0.41	0.84	1.590895587	0.313345977	"10A"	"ax4"
202203190716287	2022-03-01 09:24:37	"98"	7220220317153649	0.47	1.03	2.392248756	2.279519798	"11A"	"ax5"
202203190716370	2022-03-01 09:29:16	"A1"	7220220317153649	0.35	1.3	1.657320473	1.92349448	"14A"	"ax5"
202203190716310	2022-03-01 09:30:56	"A8"	7220220317153649	0.45	0.99	0.471229211	1.168147929	"15A"	"ax3"
202203190716334	2022-03-01 09:33:48	"A6"	7220220317153649	0.89	0.42	0.268014437	1.820043838	"12A"	"ax5"
202203190716397	2022-03-01 09:35:43	"A2"	7220220317153649	0.89	0.09	0.269254967	0.006873764	"12A"	"ax5"
202203190716349	2022-03-01 09:37:53	"A6"	7220220317153649	0.88	0.47	0.271458654	3.142229913	"12A"	"ax3"
202203190716274	2022-03-01 09:39:31	"97"	7220220317153649	0.89	0.13	0.269675545	2.586538305	"11A"	"ax5"
202203190716286	2022-03-01 09:42:47	"97"	7220220317153649	0.89	0.53	0.268763231	1.485654691	"10A"	"ax4"
202203190716396	2022-03-01 09:49:04	"A2"	7220220317153649	1.14	0.51	0.558086343	3.082782109	"10A"	"ax5"
202203190716372	2022-03-01 09:59:12	"A4"	7220220317153649	0.89	0.72	0.268988644	2.161033446	"12A"	"ax3"
202203190716371	2022-03-01 10:02:44	"A4"	7220220317153649	0.9	0.24	0.287730318	2.166658396	"11A"	"ax3"
202203190716324	2022-03-01 10:03:50	"A8"	7220220317153649	0.89	1.23	5.060205959	4.979181218	"10A"	"ax5"
202203190716323	2022-03-01 10:04:24	"A8"	7220220317153649	0.69	2.18	9.523992149	0.745591969	"9A"	"ax5"
202203190716398	2022-03-01 10:16:21	"A2"	7220220317153649	0.29	1.08	0.534444472	1.362201516	"9A"	"ax4"
202203190716300	2022-03-01 10:23:28	"A0"	7220220317153649	0.42	1.37	1.887434329	2.6731712	"16A"	"ax4"
