datetime	product_no	lot_no	serial_no	judgement	logstring
2024-05-25T20:10:32	pn4063	8047	DNpn40630524450	OK	02,DNpn40630524450_inspection_image.bmp,
2024-05-28T11:43:58	pn4063	8047	DNpn40630524895	OK	02,DNpn40630524895_inspection_image.bmp,
2024-05-28T06:30:54	pn4063	8047	DNpn40630524203	OK	02,DNpn40630524203_inspection_image.bmp,
2024-05-25T00:16:14	pn4063	8047	DNpn40630524587	OK	02,DNpn40630524587_inspection_image.bmp,
2024-05-27T09:52:33	pn4063	8047	DNpn40630524755	NG	02,DNpn40630524755_inspection_image.bmp,Crack,765,308,Scratch,568,277,Dust,287,304,Crack,521,314
2024-05-28T02:17:36	pn4063	8047	DNpn40630524244	NG	02,DNpn40630524244_inspection_image.bmp,Scratch,576,277
2024-05-25T06:47:08	pn4063	8047	DNpn40630524691	OK	02,DNpn40630524691_inspection_image.bmp,
2024-05-25T00:32:32	pn4063	8047	DNpn40630524919	OK	02,DNpn40630524919_inspection_image.bmp,
2024-05-27T18:17:36	pn4063	8047	DNpn40630524658	OK	02,DNpn40630524658_inspection_image.bmp,
2024-05-27T10:04:21	pn4063	8047	DNpn40630524004	NG	02,DNpn40630524004_inspection_image.bmp,Scratch,887,370
2024-05-24T19:45:35	pn4063	8047	DNpn40630524494	OK	02,DNpn40630524494_inspection_image.bmp,
2024-05-24T15:17:16	pn4063	8047	DNpn40630524546	OK	02,DNpn40630524546_inspection_image.bmp,
2024-05-24T23:17:34	pn4063	8047	DNpn40630524351	OK	02,DNpn40630524351_inspection_image.bmp,
2024-05-25T22:00:52	pn4063	8047	DNpn40630524463	OK	02,DNpn40630524463_inspection_image.bmp,
2024-05-25T22:09:52	pn4063	8047	DNpn40630524804	OK	02,DNpn40630524804_inspection_image.bmp,
2024-05-28T03:23:18	pn4063	8047	DNpn40630524262	OK	02,DNpn40630524262_inspection_image.bmp,
2024-05-28T09:55:37	pn4063	8047	DNpn40630524624	OK	02,DNpn40630524624_inspection_image.bmp,
2024-05-25T19:56:04	pn4063	8047	DNpn40630524989	NG	02,DNpn40630524989_inspection_image.bmp,Scratch,472,416
2024-05-28T06:03:59	pn4063	8047	DNpn40630524506	OK	02,DNpn40630524506_inspection_image.bmp,
